,alpha,performance,capacity,method
248,1.3,1.0399317214929644,0.0,rewire
249,1.4,0.9740243780908776,0.0,rewire
250,1.5,0.8253638737978536,0.0,rewire
251,2.0,0.5575476927956249,0.0,rewire
252,2.5,0.4328247258099401,0.0,rewire
253,3.0,0.3746603047917344,0.0,rewire
254,3.5,0.4367256340647601,0.0,rewire
255,0.3,4.557955725967209,6.0,rewire
256,0.5,4.842951460740923,5.0,rewire
257,0.7,5.437244197018528,5.0,rewire
258,0.8,5.787309447462352,5.0,rewire
259,0.9,6.216726969268719,5.0,rewire
260,0.95,6.153298009309497,5.0,rewire
261,1.0,4.408685669051071,7.0,rewire
262,1.05,2.0795081791356917,8.0,rewire
263,1.1,1.366453928074808,3.0,rewire
264,1.2,1.1714937652612576,8.0,rewire
265,1.3,1.0449951869812142,0.0,rewire
266,1.4,0.9782932191922724,0.0,rewire
267,1.5,0.8241520908062459,0.0,rewire
268,2.0,0.5400360259578753,0.0,rewire
269,2.5,0.424494450793877,0.0,rewire
270,3.0,0.4274951198041058,0.0,rewire
271,3.5,0.369979637532194,0.0,rewire
272,0.3,4.5464934776225805,6.0,rewire
273,0.5,4.82799110435967,5.0,rewire
274,0.7,5.36416231065103,5.0,rewire
275,0.8,5.745795897878086,5.0,rewire
276,0.9,6.228399736266359,5.0,rewire
277,0.95,5.817564317729737,5.0,rewire
278,1.0,4.334764409480989,7.0,rewire
279,1.05,1.5385756208790755,3.0,rewire
280,1.1,1.2791395815850086,3.0,rewire
281,1.2,1.208981953368105,3.0,rewire
282,1.3,1.0527795735924423,0.0,rewire
283,1.4,0.9841532838902722,0.0,rewire
284,1.5,0.8423977868838308,0.0,rewire
285,2.0,0.5663807770824496,0.0,rewire
286,2.5,0.4989084155967273,0.0,rewire
287,3.0,0.3577243600579265,0.0,rewire
288,3.5,0.3528926124997804,0.0,rewire
289,0.3,4.532339257060757,6.0,rewire
290,0.5,4.813218735593885,5.0,rewire
291,0.7,5.346753604615515,5.0,rewire
292,0.8,5.833449733590781,5.0,rewire
293,0.9,6.590557561470215,5.0,rewire
294,0.95,6.422250831276605,6.0,rewire
295,1.0,4.831516841398061,5.0,rewire
296,1.05,2.0872859983325824,4.0,rewire
297,1.1,1.9270644245627495,3.0,rewire
298,1.2,1.1752424958755603,8.0,rewire
299,1.3,1.0428405583421716,0.0,rewire
300,1.4,1.0040727280196853,0.0,rewire
301,1.5,0.8456418382227829,0.0,rewire
302,2.0,0.5626200479502759,0.0,rewire
303,2.5,0.4860125549384911,0.0,rewire
304,3.0,0.2928885494903642,0.0,rewire
305,3.5,0.418278708090908,0.0,rewire
306,0.3,4.562120231132738,6.0,rewire
307,0.5,4.84153461919989,5.0,rewire
308,0.7,5.337900540758295,5.0,rewire
309,0.8,5.789250856744432,5.0,rewire
310,0.9,5.985758134385679,5.0,rewire
311,0.95,5.779680983421569,5.0,rewire
312,1.0,4.644879812871084,5.0,rewire
313,1.05,2.106231653102112,12.0,rewire
314,1.1,1.4452391635915949,3.0,rewire
315,1.2,1.14828611912789,8.0,rewire
316,1.3,1.0496757326450608,0.0,rewire
317,1.4,0.9891003115779142,0.0,rewire
318,1.5,0.8297764726794467,0.0,rewire
319,2.0,0.5345086024310534,0.0,rewire
320,2.5,0.458319109768691,0.0,rewire
321,3.0,0.4209922582463226,0.0,rewire
322,3.5,0.3708881162890736,0.0,rewire
323,0.3,4.556256435825153,6.0,rewire
324,0.5,4.84012377363211,5.0,rewire
325,0.7,5.361948791318657,5.0,rewire
326,0.8,5.8106924694917526,5.0,rewire
327,0.9,6.487035418075396,5.0,rewire
328,0.95,5.822295451787191,5.0,rewire
329,1.0,4.61760211708641,5.0,rewire
330,1.05,2.1136135230013195,14.0,rewire
331,1.1,1.265778876516175,3.0,rewire
332,1.2,1.1646738720841594,8.0,rewire
333,1.3,1.0674374786706406,0.0,rewire
334,1.4,1.0028920275209108,0.0,rewire
335,1.5,0.8301280083863782,0.0,rewire
336,2.0,0.5452814296426454,0.0,rewire
337,2.5,0.4770800906071564,0.0,rewire
338,3.0,0.334040997032113,0.0,rewire
339,3.5,0.3743022260048868,0.0,rewire
340,0.3,4.530472566707736,6.0,rewire
341,0.5,4.823861883389855,5.0,rewire
342,0.7,5.300773282413264,5.0,rewire
343,0.8,5.793759385882902,5.0,rewire
344,0.9,6.452996889333169,5.0,rewire
345,0.95,6.336867526721335,5.0,rewire
346,1.0,4.392191874883085,5.0,rewire
347,1.05,2.093947955524193,14.0,rewire
348,1.1,1.2029435208242318,8.0,rewire
